sandstormRocketCargoFailure,teleOpRocketCargoSuccess,sandstormRocketHatchSuccess,teleOpCargoShipHatchFailure,sandstormRocketCargoSuccess,speed,teamDBRef,sandstormCross,teleOpCargoShipHatchSuccess,teleOpRocketHatchSuccess,sandstormCargoShipCargoFailure,teleOpRocketHatchFailure,teleOpRocketCargoFailure,sandstormCargoShipHatchSuccess,9fv7QhcLPsfU59sRrPq7LcJlD8J3,sandstormCargoShipCargoSuccess,teleOpCargoShipCargoFailure,sandstormRocketHatchFailure,sandstormCargoShipHatchFailure,HABClimb,match,teleOpCargoShipCargoSuccess
0,0,0,0,0,Medium,team-5148,L1,0,0,0,0,0,0,,0,0,0,1,L1,match-10,2
,,,,,,,,,,,,,,"{'contribution': 'Weak', 'notes': 'giant, cumbersome grabber ', 'fillChoice': 'Low Rocket', 'strategy': 'somewhat defensive, concentrate on cargo balls', 'cargoSuccessTeleop': 'Mid', 'strongMedium': 'Hatch', 'teamDBRef': 'team-5148', 'hiRocketSuccessTeleop': '', 'speed': '', 'match': 'match-33', 'size': 'Jumbo', 'fillChoiceTeleop': '', 'strongMediumTeleop': 'Ball', 'endingHab': '', 'functional': 'No', 'lowRocketSuccessTeleop': '', 'startingHatch': 'Hab I'}",,,,,,,
